uidplot,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6
5432,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
5433,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
5434,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
5435,E2EM,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.2,0,1,0,0,0,0
5436,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
5437,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
3654,E2EM,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3655,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,95,0,0,0,0,0,5,0,0,0,0,1.6,0,1,0
3656,E2EM,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3657,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3659,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,38,0,0,0,0,0,20,0,0,0,0,0.8,0,0.4,0
3660,E2EM,0,0,0,0,0.4,0,0,0,0,0,0,60,0,0.2,0,0,0,0,100,0,0,0,0,0,0,2.4,0,0,0,20,18,32,0
3661,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.2,0,0,0,0,0,0,0,0,0,100,0,0,0,0
3864,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,100,0,0,0,0,7.6,17.4,0,0
3881,E2SS,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,100,0,0,0,0,0,0,25,0,0,0,0,28,57,0
3885,E2SS,0,0,0,1.2,0,0,0,0,1,0,0,20,0,0.6,0,0,0,3.4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3886,E2EM,0,0,0,0,0.6,0,0,2.6,0,0,0,64.6,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3887,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3888,E2EM,0,0,0,0,1.8,0,0,0,0,0,0,48,0,0,0,0,0,0,100,0,0,52,0,0,0,0,0,0,0,0,0,0,0
3890,E2EM,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2.4,0,0,7,0,0,0,0
3930,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3932,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0
4054,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0
4055,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
4754,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4756,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4757,E2EM,0,0,0,0,0,24.6,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,79.6,0,0,0,0,0,0,0,0
4862,E2EM,0,8,0,0,0,0,0,0,0,0,0,15.6,0,0,0,20,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4954,E2EM,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
4955,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,6.26,50,0,0
4956,E2EM,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
4958,E2EM,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5111,E2EM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0
5112,E2EM,0.8,0,0,0,0.8,0,0,11.8,0,0,0,0,0,0,0,15.4,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115,E2EM,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5118,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,92,0,0,0,0,0,82,0,0,0,0,0,0,0,0
5270,E2EM,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,52,62,56,0
5452,E2EM,13.2,14,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
5453,E2EM,0,0,0,0,0,0,0,0,0,0,0,66.02,0,1.2,0,0,0,0.8,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
5455,E2EM,6,32,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5456,E2EM,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5459,E2EM,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5460,E2EM,9,52,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,0,0,0,0
5681,E2EM,0,0,0,0,0,21.6,0,3.2,0,0,0,0,0,0,0,30.2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4360,E2SS,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,7.02,0,0,0.28,0,45.02,0,0,0,0,0,0,0,0,0,0,0
4364,E2SS,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,2.6,0,98,0,0,0,0,0,0,0,0,0,0,0
4366,E2SS,2,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0,0,0.24,33.04,0.02,0,0,0,0,4.2,55,0.24,0,0,0,0,0,0
4368,E2SS,0,0,0,0,0,0,0,0,0,0,0.6,53.02,0,0,0,0,0.64,0,0,1.84,0,0,0,0.8,0,0,0,0,0,0,0,0,0
4380,E2SS,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.22,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
4289,E2EM,0,2,0,0,0,30,0,0.02,0,0,0,54,0,0,0,0,0,0,6.2,0,0,0,1.2,0,7.04,3.2,0.04,0.02,1,0,0,0,0
4290,E2EM,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
4299,E2SS,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,29,0,0,0,0,0,24,3.22,0.06,0,0,0,0,0,0.02
4302,E2EM,0,3.24,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0.4,0.02,2,0,0,0,0,0,0,0.06,0,0,0,0,0
4303,E2EM,0,2.52,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,1.44,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4304,E2EM,0,3,0,0,0,0,0,0,1.02,0,3.22,64.02,0,0,0,0,0,0,3.04,0.02,1.2,0,0,0,0,0,0,0.1,0,0,0,0,0
4305,E2EM,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,20.02,0,18,0,0,0,0,0,0,0,0
4307,E2EM,0,22.04,0,0,0,0,0,0,0,0,0,34.02,0,0,0,0,0,0,1.24,0,0,0,18.2,0,0,0,0,0.06,0,0,0,0,0
4308,E2EM,0,0.02,0,0,0,0,6.4,0,1.2,0.06,0,80,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0.22,0,0,0,0,0
4315,E2EM,0.2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,48,0,0,0,0,0,0.2,4.6,0,0,0,0,0,0,0.06
4316,E2EM,0,4.02,0,0,0,25.02,0,0.44,0,0,0,14.02,0,0,0,0,0,0,14,0,0,0,0.02,0,29.2,15.02,0.06,0.04,1,0,0,0,0.08
5395,E2EM,2,13,0,0,0,0.02,0,1.24,0,0,0.02,36.42,0,0,0,0,0,0,51,0,3,0,0,1,0,1.02,0,0,0,0,0,0,0
5491,E2EM,0,0.02,0,0,0,57,0,0,0,0,0,27,0,0,0,0,0,0,0.04,0,0,0,0.02,0,17,2.22,0,0,0,0,0,0,0
5492,E2EM,0,0,0,0,0,0,0.12,0,1.44,0.08,0,74,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
5493,E2EM,0.4,20,0,0,0,0.2,0,0.8,0,0,0,37.4,0,0,0,10.2,0,0.2,48,0.4,0.4,0.2,0,0.2,0,5.2,0,0,0,0,0,0,0
5494,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
5495,E2EM,0,0,0,0,0,66,0,0,0.2,0,0,20.42,0,0,0,0,0,0,0,0.4,1,0,4.2,0,0,0.2,0,0,0,0,0,0,0
5496,E2EM,0,20.24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,77.2,0,0,0,16,0,0,0,0,0,0,0,0,0,0
5497,E2EM,11.02,16.2,0,0,0,0,0,0,1,0,0.02,4.2,0,0,0,0.04,0,0,77,0.02,0,0,0,0,0,7,0,0,0,0,0,0,0.02
5498,E2EM,0.22,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,17,10,0,0,0.02,0,0,0,0,0,0,0,0,0
5499,E2EM,1.22,0,0,0,0,0,0,0,5.04,0,0,87,0,0,0,0,0,0,0,14,2.4,0,0,0.02,0,0,0,0,0,0,0,0,0
5500,E2EM,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,30,0,0,0,0,0,66.8,0,0.02,0,0,0,0,0,0
5501,E2EM,0.6,0,0,0,0,0,0,0,0,0,0.2,89,0,0,0,0,0,0,0,2.4,6.4,0,0,12.2,0,0.4,0,0,0,0,0,0,0
5502,E2EM,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,46,0,0,0,0,0,8,3.02,0.02,0,0,0,0,0,0.08
5822,E2EM,0,34,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,18,0,0,0,16,0,0,0,0,0,0,0,0,0,0
5823,E2EM,13,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,13,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0
3624,E2EM,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0
5098,E2EM,0,8,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,7,2.2,0
