uidplot,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6
4917,E2EM,0,0,0,0,0,85.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4918,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.22,0
4927,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,0,0
4929,E2EM,0,0,0,0,0.02,33,0,0,0.2,0,0.02,0,0,0.62,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
4964,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0
4966,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.4,0,0
4967,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,0.8,0,0
5378,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
5381,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0
5383,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
5384,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,0,0
5385,E2EM,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,2.82,0,0.02,0,0,0,7.2,0.04,0
5387,E2EM,0,0,0,0,0,94.4,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.42,0.02,0
5679,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.02,0,0
5682,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.02,0
5805,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,19.2,0.4,0,0
5807,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
5808,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.2,0,0
5810,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0.02,0,0
5811,E2EM,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,E2SS,0,0,0,0.2,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
4081,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
4082,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
4083,E2SS,0,3.2,5,0,0,90,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
4084,E2SS,0.2,22.2,0.4,0.6,3.2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0.6,0,0,0,0,0
4309,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0.2
4970,E2EM,0,3.2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
4971,E2EM,0,2.4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
4972,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
4973,E2EM,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0.2,0,0,0,0,0,74.6,0.6,0,0,0,0,2.6,16,0
4974,E2SS,0,0,0,6.4,0,0,0,0,1.2,0,0,0,56,0,0,0,0,0,1.8,0,0,0,0,3.2,10,0.6,0,0,0,0,0,0.2,0
4975,E2SS,3.2,4,2.2,4,0.2,6,0,0,0,0,0,0,4,0,28.2,0,0,1.6,0,0,0,0,0,25,0,10,0.6,0,0,0,0,18,0
4976,E2SS,0,0,22.6,0,0,0.2,0,0,7,0,0.6,0,0,0,7.6,0,0,0,7.2,0,0,0,0,0,0,0.4,1.2,0,0,0,0,28,0
4977,E2SS,0,0,0,0,0,0,0,0,5,0,0.2,0,18,0,0,0,0,0,0,0.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0
4978,E2EM,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4979,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
5276,E2SS,0,11,0,0,0,53,0,0,0,0,0,0,1,0,13.6,0,0,0,0,0,0,0,0,12,20,1,0.02,0,0,0,34,0,0
5411,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,0,0,0,0,0,0,0,0
5413,E2EM,0,18,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5414,E2SS,0,0,0.2,3.4,0,13,0,0,2.4,0,1.8,0,25.2,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0.2,0,0,0,0,1.4,0
5415,E2SS,0.2,6.4,2,3,0.2,18.2,0,0,1,0,0,0,10,0,1.8,0,0,0,18,0,0,0,0,4,0,1,0.6,0,0,0,5,8,0
5416,E2SS,0.4,3.6,0,0,0,28,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,2.2,0,0.6,1.2,0,0,0,0,22.6,0
5417,E2SS,0,0,0.6,0.2,0,0,0,0,0,0,5.8,0,46,0,0.4,0,0,0,4.2,0,0,0,0,2.8,0,2,0,0,0,0,0.2,9,0
5418,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
5419,E2EM,0,3,0,0,0,15.6,0,0,0,0,0,0,2.4,0,16.4,0,0,0,13,0,0,0,0,0,30.4,0.2,0.2,0,0,0,8,0.2,0
5420,E2SS,0,5,0,0.4,0,4,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,13,13,1,1.2,0,0,0,17.2,29,0
5421,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
5431,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
